ptp,condition,hidden_pa_img_type,hidden_pa_img_row_number_across_blocks,border_dist_closest,counterbalancing,mouse_error_mean,mouse_error_sd,mouse_error_n,y_hat_three_param,y_hat_two_param
sub_024,schema_c,all_pa,5,3,cb5,70.13931382477999,87.04717190271805,2,NA,NA
sub_024,schema_c,all_pa,5,4,cb5,39.5499502439131,11.400942124775103,2,NA,NA
sub_024,schema_c,all_pa,5,all,cb5,57.10598382459068,41.831680094641385,6,38.566603839849165,29.922851194097447
sub_024,schema_c,all_pa,6,1,cb5,17.60186668167527,NA,1,NA,NA
sub_024,schema_c,all_pa,6,2,cb5,28.92114234957084,NA,1,NA,NA
sub_024,schema_c,all_pa,6,3,cb5,67.10062445536637,26.92061517512354,2,NA,NA
sub_024,schema_c,all_pa,6,4,cb5,31.134127037039278,1.4442526660468662,2,NA,NA
sub_024,schema_c,all_pa,6,all,cb5,40.498752002676234,24.396005522731276,6,38.315487502745526,19.810621183733716
sub_024,schema_c,all_pa,7,1,cb5,9.956159642339863,NA,1,NA,NA
sub_024,schema_c,all_pa,7,2,cb5,22.519070039714208,NA,1,NA,NA
sub_024,schema_c,all_pa,7,3,cb5,27.635751279438658,2.735979490344962,2,NA,NA
sub_024,schema_c,all_pa,7,4,cb5,15.576572972299264,3.2624123243486425,2,NA,NA
sub_024,schema_c,all_pa,7,all,cb5,19.816646364254986,7.495257942833428,6,38.26074804690873,13.115752544423831
sub_024,schema_c,all_pa,8,1,cb5,21.08614980813775,NA,1,NA,NA
sub_024,schema_c,all_pa,8,2,cb5,19.361563341358185,NA,1,NA,NA
sub_024,schema_c,all_pa,8,3,cb5,11.241133469400788,3.1943933925658294,2,NA,NA
sub_024,schema_c,all_pa,8,4,cb5,79.64556823129486,0.2151008818155385,2,NA,NA
sub_024,schema_c,all_pa,8,all,cb5,37.0368527584812,33.28343351847412,6,38.248815696907656,8.68337056224195
sub_024,schema_c,far,1,all,cb5,31.64111088385536,1.2066707901547598,2,29.3214345761957,38.0522325132248
sub_024,schema_c,far,2,all,cb5,32.620347079777645,14.705472115782234,2,37.70740781691421,39.05322466728118
sub_024,schema_c,far,3,all,cb5,39.17331223123355,16.095922539005866,2,41.81019622710456,40.0805486611878
sub_024,schema_c,far,4,all,cb5,32.567778072038536,16.50470008480563,2,43.81746148488757,41.134897173490735
sub_024,schema_c,far,5,all,cb5,89.65129654627998,59.45306130918326,2,44.79950428414462,42.21698110415813
sub_024,schema_c,far,6,all,cb5,40.1101214011354,11.24972029944234,2,45.279962985770226,43.32753005390824
sub_024,schema_c,far,7,all,cb5,23.726913890060825,8.263910339514137,2,45.51502459830117,44.46729281614646
sub_024,schema_c,far,8,all,cb5,44.39001188160291,50.07398682055878,2,45.63002711880647,45.63703788184321
sub_024,schema_c,near,1,all,cb5,157.93249683663208,NA,2,167.47175332314697,157.731926555464
sub_024,schema_c,near,2,all,cb5,136.4963626276045,95.70734541269574,2,101.76360841103286,111.00052075107031
sub_024,schema_c,near,3,all,cb5,39.77755753329189,31.639004456708587,2,67.42295784450678,78.1142782953092
sub_024,schema_c,near,4,all,cb5,46.99813300173942,38.69768537922357,2,49.4757112298054,54.971277903110014
sub_024,schema_c,near,5,all,cb5,20.037967522413105,16.193168468759684,2,40.09605022353185,38.68487887549764
sub_024,schema_c,near,6,all,cb5,58.12463009127024,39.614588140612746,2,35.19401469232443,27.223668626543926
sub_024,schema_c,near,7,all,cb5,19.485410361677097,8.790343173517817,2,32.63209349568973,19.158083339826366
sub_024,schema_c,near,8,all,cb5,46.49668981909274,46.664492546177414,2,31.293172107629204,13.482097592749295
sub_024,schema_ic,all_pa,1,1,cb5,378.7566986352776,NA,1,NA,NA
sub_024,schema_ic,all_pa,1,2,cb5,193.23483006539104,NA,1,NA,NA
sub_024,schema_ic,all_pa,1,3,cb5,234.1504605176131,9.226873646917504,2,NA,NA
sub_024,schema_ic,all_pa,1,4,cb5,188.36979031830103,54.605176775744475,2,NA,NA
sub_024,schema_ic,all_pa,1,all,cb5,236.1720050620828,77.22581578666123,6,248.809840493934,241.104652688765
sub_024,schema_ic,all_pa,2,1,cb5,332.7702467143265,NA,1,NA,NA
sub_024,schema_ic,all_pa,2,2,cb5,311.2899607667243,NA,1,NA,NA
sub_024,schema_ic,all_pa,2,3,cb5,133.79840822396164,84.54508096459668,2,NA,NA
sub_024,schema_ic,all_pa,2,4,cb5,135.26613792131704,24.651049188602013,2,NA,NA
sub_024,schema_ic,all_pa,2,all,cb5,197.0315499619347,104.74952587414099,6,155.0334612231671,163.0276648489799
sub_024,schema_ic,all_pa,3,1,cb5,32.825696408182345,NA,1,NA,NA
sub_024,schema_ic,all_pa,3,2,cb5,49.18765347720573,NA,1,NA,NA
sub_024,schema_ic,all_pa,3,3,cb5,78.76825320846967,59.145621143544226,2,NA,NA
sub_024,schema_ic,all_pa,3,4,cb5,115.01824453142653,99.57929113258562,2,NA,NA
sub_024,schema_ic,all_pa,3,all,cb5,78.26439089419675,61.68722818731803,6,100.98407115153069,110.23437005348922
sub_024,schema_ic,all_pa,4,1,cb5,58.696853951766336,NA,1,NA,NA
sub_024,schema_ic,all_pa,4,2,cb5,20.470665104175094,NA,1,NA,NA
sub_024,schema_ic,all_pa,4,3,cb5,51.96708598926839,10.531366690842868,2,NA,NA
sub_024,schema_ic,all_pa,4,4,cb5,25.797407234514818,17.40373896584311,2,NA,NA
sub_024,schema_ic,all_pa,4,all,cb5,39.11608425058464,19.130754391274223,6,69.83191332849364,74.53714283613282
sub_024,schema_ic,all_pa,5,1,cb5,48.58519742127116,NA,1,NA,NA
sub_024,schema_ic,all_pa,5,2,cb5,20.089141358976356,NA,1,NA,NA
sub_024,schema_ic,all_pa,5,3,cb5,89.99219804209065,42.931885096797416,2,NA,NA
sub_024,schema_ic,all_pa,5,4,cb5,50.72921935232775,39.419803567730575,2,NA,NA
sub_024,schema_ic,all_pa,5,all,cb5,58.352862261514055,37.616279148016275,6,51.8769107698121,50.39975880007497
sub_024,schema_ic,all_pa,6,1,cb5,40.19106950111655,NA,1,NA,NA
sub_024,schema_ic,all_pa,6,2,cb5,35.305769176051356,NA,1,NA,NA
sub_024,schema_ic,all_pa,6,3,cb5,95.14669364541123,4.294308950476386,2,NA,NA
sub_024,schema_ic,all_pa,6,4,cb5,49.43844575814616,47.46612423904404,2,NA,NA
sub_024,schema_ic,all_pa,6,all,cb5,60.777852914047116,34.53611291565752,6,41.52828199380295,34.07879065998183
sub_024,schema_ic,all_pa,7,1,cb5,37.94896242536989,NA,1,NA,NA
sub_024,schema_ic,all_pa,7,2,cb5,33.39194843645518,NA,1,NA,NA
sub_024,schema_ic,all_pa,7,3,cb5,35.37572766047188,2.5724212244250837,2,NA,NA
sub_024,schema_ic,all_pa,7,4,cb5,27.12525732544606,30.821986675903972,2,NA,NA
sub_024,schema_ic,all_pa,7,all,cb5,32.723813472276824,14.567867099197299,6,35.56369818527193,23.04304624658516
sub_024,schema_ic,all_pa,8,1,cb5,27.56307243049331,NA,1,NA,NA
sub_024,schema_ic,all_pa,8,2,cb5,17.223492469781156,NA,1,NA,NA
sub_024,schema_ic,all_pa,8,3,cb5,41.22589793667656,8.569755611764185,2,NA,NA
sub_024,schema_ic,all_pa,8,4,cb5,36.32713285666799,29.625276222806907,2,NA,NA
sub_024,schema_ic,all_pa,8,all,cb5,33.31543774782726,16.65190372152469,6,32.12592292257571,15.581010066351498
sub_024,schema_ic,far,1,all,cb5,227.30377834852322,0.4557971338674764,2,215.014885329539,203.492426449721
sub_024,schema_ic,far,2,all,cb5,113.35653506193515,55.635906698548226,2,152.1399636269642,158.2663207449566
sub_024,schema_ic,far,3,all,cb5,153.01097977679376,45.849449676937006,2,112.14672140107652,123.09169790323577
sub_024,schema_ic,far,4,all,cb5,48.75879793339428,15.068571171459656,2,86.70797125352712,95.73462010984599
sub_024,schema_ic,far,5,all,cb5,99.47642744563474,29.51915924564767,2,70.52698734093616,74.45764128447854
sub_024,schema_ic,far,6,all,cb5,90.59264635451026,10.734704392956996,2,60.23464833603617,57.909462003264444
sub_024,schema_ic,far,7,all,cb5,21.262762844802,22.53116747203973,2,53.68793629651944,45.039108567713946
sub_024,schema_ic,far,8,all,cb5,46.220766099412984,15.633565909771619,2,49.52372848059454,35.02918573928338
sub_024,schema_ic,near,1,all,cb5,195.21647248739094,64.28784755652946,2,205.297600662661,194.704517260041
sub_024,schema_ic,near,2,all,cb5,155.70801108334354,53.56022345465047,2,115.59012227626533,128.14204920051054
sub_024,schema_ic,near,3,all,cb5,40.77551796310245,5.415779687895602,2,72.23786905417069,84.33489373734221
sub_024,schema_ic,near,4,all,cb5,29.005695290388935,21.940943446459897,2,51.287354189206724,55.50382833787602
sub_024,schema_ic,near,5,all,cb5,41.24498994878366,26.007077716580824,2,41.1627576461284,36.52906672005841
sub_024,schema_ic,near,6,all,cb5,53.992493049047134,53.90651968152465,2,36.26992060509036,24.04109329748517
sub_024,schema_ic,near,7,all,cb5,41.23822214111594,10.863240428289327,2,33.90539632915559,15.822308611597135
sub_024,schema_ic,near,8,all,cb5,31.33226469393156,22.561465924799474,2,32.7627106021242,10.413230658973747
sub_024,schema_l,all_pa,1,1,cb5,98.27241552788156,NA,1,NA,NA
sub_024,schema_l,all_pa,1,2,cb5,9.347742119160152,NA,1,NA,NA
sub_024,schema_l,all_pa,1,3,cb5,177.02302718368713,187.30902150524466,2,NA,NA
sub_024,schema_l,all_pa,1,4,cb5,220.10206813751606,51.97603786319297,2,NA,NA
sub_024,schema_l,all_pa,1,all,cb5,150.31172471490802,119.610604520146,6,159.629453724252,150.900886373864
sub_024,schema_l,all_pa,2,1,cb5,264.81728128853916,NA,1,NA,NA
sub_024,schema_l,all_pa,2,2,cb5,84.1690572707972,NA,1,NA,NA
sub_024,schema_l,all_pa,2,3,cb5,111.70022627193907,54.46051235708301,2,NA,NA
sub_024,schema_l,all_pa,2,4,cb5,131.0149164715947,38.78445691599171,2,NA,NA
sub_024,schema_l,all_pa,2,all,cb5,139.06943734106733,70.6040388869203,6,106.48752263802564,112.66180407154933
sub_024,schema_l,all_pa,3,1,cb5,30.741952888805333,NA,1,NA,NA
sub_024,schema_l,all_pa,3,2,cb5,14.584402070859829,NA,1,NA,NA
sub_024,schema_l,all_pa,3,3,cb5,122.42081525357108,23.43800313824338,2,NA,NA
sub_024,schema_l,all_pa,3,4,cb5,10.919744961678543,5.1544903731913045,2,NA,NA
sub_024,schema_l,all_pa,3,all,cb5,52.001245898360736,56.07334025748984,6,75.07444243652066,84.11270736481596
sub_024,schema_l,all_pa,4,1,cb5,73.10911514311051,NA,1,NA,NA
sub_024,schema_l,all_pa,4,2,cb5,4.932582999056035,NA,1,NA,NA
sub_024,schema_l,all_pa,4,3,cb5,47.88811815666457,58.12889784237501,2,NA,NA
sub_024,schema_l,all_pa,4,4,cb5,22.168010683554826,1.9521378977298327,2,NA,NA
